ISO 8601 UTC,Timestamp (UTC-05:00),Value,Approval Level,Grade,Qualifiers
2018-05-03T00:30:00Z,5/2/2018 19:30,6.7,Approved,50,
2018-05-03T00:45:00Z,5/2/2018 19:45,6.69,Approved,50,
2018-05-03T01:00:00Z,5/2/2018 20:00,6.67,Approved,50,
2018-05-03T01:15:00Z,5/2/2018 20:15,6.65,Approved,50,
2018-05-03T01:30:00Z,5/2/2018 20:30,6.63,Approved,50,
2018-05-03T01:45:00Z,5/2/2018 20:45,6.61,Approved,50,
2018-05-03T02:00:00Z,5/2/2018 21:00,6.58,Approved,50,
2018-05-03T02:15:00Z,5/2/2018 21:15,6.56,Approved,50,
2018-05-03T02:30:00Z,5/2/2018 21:30,6.54,Approved,50,
2018-05-03T02:45:00Z,5/2/2018 21:45,6.52,Approved,50,
2018-05-03T03:00:00Z,5/2/2018 22:00,6.5,Approved,50,
2018-05-03T03:15:00Z,5/2/2018 22:15,6.48,Approved,50,
2018-05-03T03:30:00Z,5/2/2018 22:30,6.46,Approved,50,
2018-05-03T03:45:00Z,5/2/2018 22:45,6.44,Approved,50,
2018-05-03T04:00:00Z,5/2/2018 23:00,6.42,Approved,50,
2018-05-03T04:15:00Z,5/2/2018 23:15,6.4,Approved,50,
2018-05-03T04:30:00Z,5/2/2018 23:30,6.38,Approved,50,
2018-05-03T04:45:00Z,5/2/2018 23:45,6.37,Approved,50,
2018-05-03T05:00:00Z,5/3/2018 0:00,6.35,Approved,50,
2018-05-03T05:15:00Z,5/3/2018 0:15,6.33,Approved,50,
2018-05-03T05:30:00Z,5/3/2018 0:30,6.31,Approved,50,
2018-05-03T05:45:00Z,5/3/2018 0:45,6.29,Approved,50,
2018-05-03T06:00:00Z,5/3/2018 1:00,6.28,Approved,50,
2018-05-03T06:15:00Z,5/3/2018 1:15,6.26,Approved,50,
2018-05-03T06:30:00Z,5/3/2018 1:30,6.24,Approved,50,
2018-05-03T06:45:00Z,5/3/2018 1:45,6.22,Approved,50,
2018-05-03T07:00:00Z,5/3/2018 2:00,6.2,Approved,50,
2018-05-03T07:15:00Z,5/3/2018 2:15,6.18,Approved,50,
2018-05-03T07:30:00Z,5/3/2018 2:30,6.17,Approved,50,
2018-05-03T07:45:00Z,5/3/2018 2:45,6.15,Approved,50,
2018-05-03T08:00:00Z,5/3/2018 3:00,6.13,Approved,50,
2018-05-03T08:15:00Z,5/3/2018 3:15,6.12,Approved,50,
2018-05-03T08:30:00Z,5/3/2018 3:30,6.1,Approved,50,
2018-05-03T08:45:00Z,5/3/2018 3:45,6.08,Approved,50,
2018-05-03T09:00:00Z,5/3/2018 4:00,6.07,Approved,50,
2018-05-03T09:15:00Z,5/3/2018 4:15,6.05,Approved,50,
2018-05-03T09:30:00Z,5/3/2018 4:30,6.03,Approved,50,
2018-05-03T09:45:00Z,5/3/2018 4:45,6.02,Approved,50,
2018-05-03T10:00:00Z,5/3/2018 5:00,6,Approved,50,
2018-05-03T10:15:00Z,5/3/2018 5:15,5.99,Approved,50,
2018-05-03T10:30:00Z,5/3/2018 5:30,5.97,Approved,50,
2018-05-03T10:45:00Z,5/3/2018 5:45,5.96,Approved,50,
2018-05-03T11:00:00Z,5/3/2018 6:00,5.94,Approved,50,
2018-05-03T11:15:00Z,5/3/2018 6:15,5.93,Approved,50,
2018-05-03T11:30:00Z,5/3/2018 6:30,5.91,Approved,50,
2018-05-03T11:45:00Z,5/3/2018 6:45,5.9,Approved,50,
2018-05-03T12:00:00Z,5/3/2018 7:00,5.89,Approved,50,
2018-05-03T12:15:00Z,5/3/2018 7:15,5.87,Approved,50,
2018-05-03T12:30:00Z,5/3/2018 7:30,5.86,Approved,50,
2018-05-03T12:45:00Z,5/3/2018 7:45,5.85,Approved,50,
2018-05-03T13:00:00Z,5/3/2018 8:00,5.84,Approved,50,
2018-05-03T13:15:00Z,5/3/2018 8:15,5.82,Approved,50,
2018-05-03T13:30:00Z,5/3/2018 8:30,5.81,Approved,50,
2018-05-03T13:45:00Z,5/3/2018 8:45,5.8,Approved,50,
2018-05-03T14:00:00Z,5/3/2018 9:00,5.79,Approved,50,
2018-05-03T14:15:00Z,5/3/2018 9:15,5.78,Approved,50,
2018-05-03T14:30:00Z,5/3/2018 9:30,5.77,Approved,50,
2018-05-03T14:45:00Z,5/3/2018 9:45,5.75,Approved,50,
2018-05-03T15:00:00Z,5/3/2018 10:00,5.74,Approved,50,
2018-05-03T15:15:00Z,5/3/2018 10:15,5.73,Approved,50,
2018-05-03T15:30:00Z,5/3/2018 10:30,5.72,Approved,50,
2018-05-03T15:45:00Z,5/3/2018 10:45,5.71,Approved,50,
2018-05-03T16:00:00Z,5/3/2018 11:00,5.71,Approved,50,
2018-05-03T16:15:00Z,5/3/2018 11:15,5.7,Approved,50,
2018-05-03T16:30:00Z,5/3/2018 11:30,5.69,Approved,50,
2018-05-03T16:45:00Z,5/3/2018 11:45,5.68,Approved,50,
2018-05-03T17:00:00Z,5/3/2018 12:00,5.67,Approved,50,
2018-05-03T17:15:00Z,5/3/2018 12:15,5.66,Approved,50,
2018-05-03T17:30:00Z,5/3/2018 12:30,5.66,Approved,50,
2018-05-03T17:45:00Z,5/3/2018 12:45,5.65,Approved,50,
2018-05-03T18:00:00Z,5/3/2018 13:00,5.64,Approved,50,
2018-05-03T18:15:00Z,5/3/2018 13:15,5.63,Approved,50,
2018-05-03T18:30:00Z,5/3/2018 13:30,5.62,Approved,50,
2018-05-03T18:45:00Z,5/3/2018 13:45,5.61,Approved,50,
2018-05-03T19:00:00Z,5/3/2018 14:00,5.61,Approved,50,
2018-05-03T19:15:00Z,5/3/2018 14:15,5.6,Approved,50,
2018-05-03T19:30:00Z,5/3/2018 14:30,5.6,Approved,50,
2018-05-03T19:45:00Z,5/3/2018 14:45,5.59,Approved,50,
2018-05-03T20:00:00Z,5/3/2018 15:00,5.58,Approved,50,
2018-05-03T20:15:00Z,5/3/2018 15:15,5.57,Approved,50,
2018-05-03T20:30:00Z,5/3/2018 15:30,5.57,Approved,50,
2018-05-03T20:45:00Z,5/3/2018 15:45,5.56,Approved,50,
2018-05-03T21:00:00Z,5/3/2018 16:00,5.55,Approved,50,
2018-05-03T21:15:00Z,5/3/2018 16:15,5.55,Approved,50,
2018-05-03T21:30:00Z,5/3/2018 16:30,5.54,Approved,50,
2018-05-03T21:45:00Z,5/3/2018 16:45,5.53,Approved,50,
2018-05-03T22:00:00Z,5/3/2018 17:00,5.53,Approved,50,
2018-05-03T22:15:00Z,5/3/2018 17:15,5.52,Approved,50,
2018-05-03T22:30:00Z,5/3/2018 17:30,5.51,Approved,50,
2018-05-03T22:45:00Z,5/3/2018 17:45,5.51,Approved,50,
2018-05-03T23:00:00Z,5/3/2018 18:00,5.5,Approved,50,
2018-05-03T23:15:00Z,5/3/2018 18:15,5.5,Approved,50,
2018-05-03T23:30:00Z,5/3/2018 18:30,5.49,Approved,50,
2018-05-03T23:45:00Z,5/3/2018 18:45,5.48,Approved,50,
2018-05-04T00:00:00Z,5/3/2018 19:00,5.48,Approved,50,
2018-05-04T00:15:00Z,5/3/2018 19:15,5.47,Approved,50,
2018-05-04T00:30:00Z,5/3/2018 19:30,5.46,Approved,50,
2018-05-04T00:45:00Z,5/3/2018 19:45,5.46,Approved,50,
2018-05-04T01:00:00Z,5/3/2018 20:00,5.45,Approved,50,
2018-05-04T01:15:00Z,5/3/2018 20:15,5.44,Approved,50,
2018-05-04T01:30:00Z,5/3/2018 20:30,5.44,Approved,50,
2018-05-04T01:45:00Z,5/3/2018 20:45,5.43,Approved,50,
2018-05-04T02:00:00Z,5/3/2018 21:00,5.43,Approved,50,
2018-05-04T02:15:00Z,5/3/2018 21:15,5.42,Approved,50,
2018-05-04T02:30:00Z,5/3/2018 21:30,5.41,Approved,50,
2018-05-04T02:45:00Z,5/3/2018 21:45,5.41,Approved,50,
2018-05-04T03:00:00Z,5/3/2018 22:00,5.4,Approved,50,
2018-05-04T03:15:00Z,5/3/2018 22:15,5.4,Approved,50,
2018-05-04T03:30:00Z,5/3/2018 22:30,5.39,Approved,50,
2018-05-04T03:45:00Z,5/3/2018 22:45,5.38,Approved,50,
2018-05-04T04:00:00Z,5/3/2018 23:00,5.38,Approved,50,
2018-05-04T04:15:00Z,5/3/2018 23:15,5.37,Approved,50,
2018-05-04T04:30:00Z,5/3/2018 23:30,5.36,Approved,50,
2018-05-04T04:45:00Z,5/3/2018 23:45,5.36,Approved,50,
2018-05-04T05:00:00Z,5/4/2018 0:00,5.35,Approved,50,
2018-05-04T05:15:00Z,5/4/2018 0:15,5.35,Approved,50,
2018-05-04T05:30:00Z,5/4/2018 0:30,5.34,Approved,50,
